Control Number,T1,T2,T3,T4,T5,T6,T7,T1_init,T2_init,T3_init,T4_init,T5_init,T6_init,T7_init,J1,J2,J3,J4,J5,J6,J7,Cube x,Cube y,Cube w,V1,V2,V3,V4,V5,V6,V7,Cube x V,Cube y V,Cube w V,
20,-3.81935,-39.3794,9.78809,31.1187,1.4469,12,-1.97277,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.125628,0.375538,0.06756,-2.50377,0.00561437,1.26577,0.00170862,0.8,0.02,0,-0.0584705,-0.578479,0.0758168,0.026234,0.270082,-0.315528,-0.0293801,0,0,1.28103e-16,
21,-4.07269,-39.436,10.0603,31.2647,1.55632,12,-2.14384,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.125871,0.373357,0.0678629,-2.50367,0.00673252,1.26465,0.00156945,0.8,0.02,0,-0.0608088,-0.545254,0.0757286,0.0245156,0.279537,-0.278734,-0.0347928,-4.44089e-19,-4.44089e-19,1.73854e-16,
22,-4.38508,-39.5068,10.3937,31.3869,1.67679,12,-2.33452,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.126127,0.371304,0.0681665,-2.50357,0.00791248,1.26368,0.00140631,0.8,0.02,0,-0.0641179,-0.513401,0.0758917,0.0242564,0.294989,-0.244654,-0.0407866,-4.44089e-19,8.88178e-19,1.18952e-16,
23,-4.7861,-39.5904,10.8189,31.4852,1.8121,12,-2.54991,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.126401,0.369372,0.0684721,-2.50348,0.00917091,1.26283,0.00121693,0.8,0.02,0,-0.0684201,-0.482996,0.0764179,0.024591,0.314609,-0.212651,-0.0473432,0,4.44089e-19,1.09802e-16,
24,-5.32145,-39.6851,11.3833,31.5572,1.96508,12,-2.79455,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.126697,0.367556,0.0687818,-2.50338,0.0105226,1.2621,0.000998823,0.8,0.02,0,-0.0739708,-0.454081,0.0774218,0.0250362,0.337925,-0.18234,-0.0545278,8.88178e-19,4.44089e-19,2.74506e-17,
25,-6.06326,-39.7887,12.1618,31.5982,2.13646,12,-3.07121,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.127022,0.365849,0.0690982,-2.50328,0.0119822,1.26148,0.000748971,0.8,0.02,0,-0.0813064,-0.426705,0.0790862,0.0253313,0.364901,-0.153448,-0.062463,4.44089e-19,0,1.83004e-17,
26,-7.12669,-39.898,13.2743,31.6003,2.32259,12,-3.37835,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.127387,0.364245,0.069425,-2.50317,0.0135639,1.26098,0.000463878,0.8,0.02,0,-0.0913356,-0.400903,0.0817189,0.0253146,0.395429,-0.125739,-0.0712732,4.44089e-19,0,-2.74506e-17,
27,-8.69143,-40.007,14.9091,31.5555,2.51067,12,-3.70411,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.127809,0.362737,0.0697694,-2.50307,0.0152807,1.26058,0.000139344,0.8,0.02,0,-0.105504,-0.377135,0.0860829,0.0249067,0.429202,-0.0986673,-0.0811335,0,0,-9.15019e-18,
28,-10.9913,-40.1038,17.3172,31.4692,2.67027,12,-4.00979,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.128313,0.361312,0.0701432,-2.50298,0.0171364,1.2603,-0.000229532,0.8,0.02,0,-0.125929,-0.356114,0.0934627,0.0242512,0.463917,-0.0715358,-0.0922191,4.44089e-19,4.44089e-19,4.57509e-17,
29,-13.8778,-40.1639,20.3999,31.4326,2.72825,12,-4.15064,1.79072,-34.4049,2.86669,35.2312,-0.0831123,1.70243,0.00187807,-0.128934,0.359954,0.0705676,-2.50288,0.0191117,1.26013,-0.000647561,0.8,0.02,0,-0.155264,-0.339655,0.106102,0.0237392,0.493819,-0.042233,-0.104507,-8.88178e-19,-4.44089e-19,1.55553e-16,
30,-12.7635,-40.1863,19.8133,31.6789,2.41678,12,-3.33856,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.129703,0.358644,0.0710691,-2.50278,0.0211349,1.2601,-0.0011158,0.8,0.02,0,-0.192133,-0.327475,0.125355,0.0249735,0.505809,-0.00832435,-0.11706,0,-4.44089e-19,1.00652e-16,
31,-11.5442,-41.3725,19.6729,32.3498,1.45333,12,-3.04855,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.130457,0.357436,0.0716141,-2.50265,0.0229895,1.26018,-0.0016074,0.8,0.02,0,-0.188569,-0.301849,0.136252,0.0324053,0.463645,0.01977,-0.122898,0,-4.44089e-19,1.00652e-16,
32,-9.87104,-42.5501,19.1108,33.0993,0.447424,12,-2.65205,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.131154,0.356315,0.0721934,-2.50249,0.0244827,1.26038,-0.00210386,0.8,0.02,0,-0.174137,-0.280223,0.14483,0.0412714,0.373308,0.0516303,-0.124117,4.44089e-19,4.44089e-19,1.00652e-16,
33,-7.71089,-43.6848,18.0556,33.914,-0.58091,12,-2.15375,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.131762,0.355248,0.0727841,-2.50229,0.0254921,1.26072,-0.00259044,0.8,0.02,0,-0.15217,-0.26679,0.147671,0.0506324,0.252334,0.0849295,-0.121645,4.44089e-19,4.44089e-19,4.57509e-17,
34,-5.03913,-44.7457,16.4376,34.7774,-1.61066,12,-1.56885,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132259,0.354214,0.073365,-2.50204,0.0259501,1.26119,-0.0030539,0.8,0.02,0,-0.12429,-0.258657,0.145243,0.0607811,0.114515,0.117127,-0.115864,4.44089e-19,4.44089e-19,-9.15019e-18,
35,-1.84832,-45.7059,14.2,35.6753,-2.61535,12,-0.929179,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132622,0.353197,0.0739152,-2.50176,0.02582,1.26178,-0.00348145,0.8,0.02,0,-0.0906192,-0.25421,0.137543,0.0717388,-0.0325263,0.147392,-0.106889,4.44089e-19,0,4.57509e-17,
36,1.86717,-46.5494,11.286,36.596,-3.56472,12,-0.290851,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132826,0.352186,0.0744126,-2.50142,0.0251046,1.26248,-0.00383956,0.8,0.02,0,-0.0510326,-0.252787,0.124345,0.0832395,-0.178848,0.176074,-0.089527,4.44089e-19,-4.44089e-19,-9.15019e-18,
37,6.11099,-47.2749,7.64495,37.5297,-4.43675,12,0.285483,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132848,0.351167,0.0748328,-2.50104,0.023826,1.2633,-0.0041151,0.8,0.02,0,-0.00546277,-0.254747,0.105047,0.0953376,-0.319647,0.204237,-0.0688843,0,-4.44089e-19,9.15019e-18,
38,10.9213,-47.9133,3.19769,38.4564,-5.21839,12,0.712833,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132663,0.350131,0.0751502,-2.50061,0.0220342,1.26423,-0.00429777,0.8,0.02,0,0.0461701,-0.259003,0.0793584,0.107919,-0.447962,0.231387,-0.0456679,-4.44089e-19,-4.44089e-19,1.00652e-16,
39,16.0822,-48.5542,-1.86694,39.2899,-5.92386,12,0.856913,1.76872,-33.4714,2.78442,35.2318,-0.0393421,1.66011,0.00167222,-0.132246,0.349071,0.0753371,-2.50013,0.0198118,1.26526,-0.00438089,0.8,0.02,0,0.104259,-0.264819,0.0467333,0.120624,-0.555597,0.257321,-0.0207788,-4.44089e-19,-4.44089e-19,2.74506e-17,
40,14.5599,-49.6774,-0.171583,39.2675,-6.36949,12,-0.223951,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.13158,0.347987,0.0753672,-2.4996,0.0172741,1.26638,-0.00436274,0.8,0.02,0,0.166483,-0.271043,0.00751435,0.132503,-0.634438,0.281596,0.00453746,4.44089e-19,4.44089e-19,-9.15019e-18,
41,13.3479,-49.6866,0.622083,39.3025,-6.43085,12,-0.687132,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.130934,0.346916,0.0753887,-2.49906,0.014717,1.26756,-0.00431092,0.8,0.02,0,0.161551,-0.267865,0.00536957,0.134497,-0.639271,0.295104,0.0129543,4.44089e-19,0,-1.18952e-16,
42,11.9727,-49.675,1.62104,39.3371,-6.5067,12,-1.07667,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.13034,0.345846,0.075427,-2.49852,0.0122594,1.26881,-0.0042381,0.8,0.02,0,0.148387,-0.267356,0.00957402,0.135596,-0.614386,0.311909,0.0182039,-4.44089e-19,0,-9.15019e-18,
43,10.4446,-49.6373,2.83036,39.3726,-6.59534,12,-1.36174,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.129812,0.344778,0.0754927,-2.49797,0.00991732,1.27013,-0.00415115,0.8,0.02,0,0.13205,-0.267141,0.0164234,0.137679,-0.585527,0.33075,0.0217383,-8.88178e-19,0,6.40513e-17,
44,8.80464,-49.5724,4.21596,39.4158,-6.70542,12,-1.5162,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.129357,0.343714,0.0755954,-2.4974,0.00766559,1.27155,-0.00405422,0.8,0.02,0,0.113816,-0.265807,0.0256893,0.141176,-0.562933,0.354862,0.0242338,-8.88178e-19,4.44089e-19,-9.15019e-18,
45,7.11108,-49.4708,5.71604,39.54,-6.81833,12,-1.54606,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.128977,0.342693,0.0757432,-2.4968,0.00543696,1.27333,-0.00395486,0.8,0.02,0,0.0950278,-0.255402,0.0369454,0.150511,-0.557158,0.443687,0.0248378,-4.44089e-19,0,9.15019e-18,
46,5.40414,-49.2756,7.31006,39.9279,-6.8882,12,-1.30753,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.12867,0.341841,0.0759398,-2.49607,0.00279356,1.2763,-0.00449266,0.8,0.02,0,0.0766303,-0.212854,0.049159,0.182359,-0.660849,0.743444,-0.134448,0,-4.44089e-19,-1.37253e-16,
47,3.78249,-49.1887,8.76833,40.1955,-6.94409,12,-1.38477,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.128434,0.341075,0.0761974,-2.49523,-4.22523e-05,1.27978,-0.00500105,0.8,0.02,0,0.059,-0.191611,0.0643995,0.210913,-0.708953,0.869898,-0.127097,0,-8.88178e-19,-3.66008e-17,
48,2.18364,-49.1629,10.1654,40.5428,-6.86648,12,-1.78186,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.128263,0.340347,0.0765154,-2.4943,-0.00294685,1.2835,-0.00554543,0.8,0.02,0,0.0429644,-0.18192,0.0794908,0.231557,-0.726149,0.929279,-0.136096,4.44089e-19,-4.44089e-19,-7.32015e-17,
49,0.613091,-49.1471,11.5149,41.1904,-6.48749,11.6195,-2.64793,1.76008,-32.9663,2.74506,35.1768,-0.0133694,1.6356,0.00165222,-0.128152,0.339634,0.0768928,-2.49331,-0.00584211,1.28734,-0.0062461,0.8,0.02,0,0.027692,-0.17821,0.0943385,0.246207,-0.723815,0.959614,-0.175167,4.44089e-19,-4.44089e-19,-1.83004e-17,
50,1.43273,-49.1976,10.4936,42.7346,-6.01726,7.6602,-3.69883,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.128099,0.338922,0.0773299,-2.49228,-0.00862697,1.29115,-0.00728727,0.8,0.02,0,0.0132402,-0.178023,0.109291,0.259496,-0.696215,0.952739,-0.260292,0,-4.44089e-19,3.66008e-17,
51,2.1572,-48.4449,9.96326,43.6632,0.588063,10.986,4.40936,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.128018,0.338174,0.0777348,-2.49111,-0.0113058,1.29399,-0.00874526,0.8,0.02,0,0.0202505,-0.187063,0.101228,0.29229,-0.669711,0.710273,-0.364497,-4.44089e-19,-4.44089e-19,1.00652e-16,
52,2.69726,-47.7999,9.38683,44.7492,2.55451,11.9934,8.66117,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.127867,0.337449,0.0781748,-2.49,-0.0121981,1.29739,-0.00730914,0.8,0.02,0,0.0377398,-0.181183,0.109989,0.277946,-0.223072,0.849816,0.359029,-4.44089e-19,1.37668e-17,-1.73854e-16,
53,3.17168,-47.3953,8.66382,45.6415,4.26754,12,12,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.127667,0.336757,0.0786105,-2.48887,-0.011989,1.30117,-0.00404967,0.8,0.02,0,0.0500175,-0.17309,0.108928,0.280553,0.0522813,0.945382,0.814868,6.66134e-18,-7.54952e-18,-3.56857e-16,
54,3.55675,-47.1983,7.79828,46.3633,5.85529,12,12,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.127431,0.336087,0.0790289,-2.48771,-0.0109733,1.30507,0.000595732,0.8,0.02,0,0.0588547,-0.16754,0.104602,0.291768,0.253914,0.976074,1.16135,-4.44089e-19,1.37668e-17,-3.75158e-16,
55,3.83878,-47.1617,6.79696,47.0055,6.92849,12,12,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.127168,0.33543,0.079424,-2.4865,-0.00921933,1.30903,0.00533863,0.8,0.02,0,0.0659476,-0.164182,0.0987668,0.302509,0.438499,0.987906,1.18573,-4.44089e-19,4.44089e-18,-2.37905e-16,
56,4.00855,-47.1798,5.78011,47.6296,6.23845,11.5568,12,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.126883,0.334781,0.0797853,-2.48524,-0.00694047,1.31299,0.0101009,0.8,0.02,0,0.0710201,-0.162398,0.090328,0.313113,0.569713,0.991212,1.19057,-1.33227e-18,8.88178e-19,-4.93038e-32,
57,4.13243,-47.1418,4.895,48.2457,3.58249,10.8395,11.3034,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.126598,0.33413,0.0800948,-2.48393,-0.00469168,1.31683,0.0148984,0.8,0.02,0,0.0713654,-0.162666,0.0773745,0.327867,0.562199,0.960697,1.19938,-4.44089e-19,-7.70372e-34,3.66008e-17,
58,4.28561,-47.007,4.20595,48.8241,-0.101002,10.0395,5.73319,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.126334,0.333472,0.080336,-2.48255,-0.00316019,1.32044,0.0194811,0.8,0.02,0,0.0658908,-0.164556,0.0603031,0.3459,0.382873,0.901124,1.14567,-4.44089e-19,-8.88178e-19,-7.32015e-17,
