initial rollout ,optimisation 1,optimisation 2,optimisation 3,optimisation 4,
2.45017,2.53172,1.60829,1.59068,1.58486,
2.45512,2.53588,1.60991,1.59214,1.58626,
2.46008,2.54002,1.61153,1.5936,1.58765,
2.46502,2.54414,1.61314,1.59505,1.58904,
2.46996,2.54824,1.61475,1.5965,1.59042,
2.4749,2.55231,1.61635,1.59795,1.5918,
2.47983,2.55637,1.61795,1.59939,1.59318,
2.48476,2.5604,1.61955,1.60082,1.59455,
2.48968,2.56442,1.62114,1.60226,1.59592,
2.4946,2.56841,1.62273,1.60368,1.59728,
2.49951,2.57238,1.62431,1.60511,1.59864,
2.50442,2.57634,1.62589,1.60653,1.6,
2.50932,2.58027,1.62747,1.60795,1.60135,
2.51422,2.58418,1.62904,1.60936,1.6027,
2.51911,2.58808,1.63061,1.61077,1.60404,
2.524,2.59195,1.63217,1.61217,1.60538,
2.52889,2.5958,1.63374,1.61357,1.60672,
2.53377,2.59963,1.6353,1.61497,1.60805,
2.53864,2.60345,1.63685,1.61636,1.60938,
2.54351,2.60724,1.6384,1.61775,1.61071,
2.54838,2.61102,1.63995,1.61914,1.61203,
2.55324,2.61477,1.6415,1.62052,1.61335,
2.5581,2.61851,1.64304,1.6219,1.61466,
2.56295,2.62223,1.64458,1.62328,1.61598,
2.5678,2.62592,1.64611,1.62465,1.61728,
2.57264,2.6296,1.64765,1.62602,1.61859,
2.57748,2.63326,1.64918,1.62738,1.61989,
2.58232,2.63691,1.6507,1.62874,1.62119,
2.58715,2.64053,1.65223,1.6301,1.62248,
2.59197,2.64413,1.65375,1.63146,1.62377,
2.5968,2.64772,1.65526,1.63281,1.62506,
2.60161,2.65129,1.65678,1.63416,1.62635,
2.60643,2.65484,1.65829,1.6355,1.62763,
2.61124,2.65837,1.6598,1.63685,1.62891,
2.61604,2.66189,1.66131,1.63818,1.63018,
2.62084,2.66538,1.66281,1.63952,1.63145,
2.62564,2.66886,1.66431,1.64085,1.63272,
2.63043,2.67232,1.66581,1.64218,1.63398,
2.63522,2.67577,1.6673,1.64351,1.63525,
2.64,2.67919,1.6688,1.64483,1.63651,
2.64478,2.6826,1.67029,1.64615,1.63776,
2.64955,2.68599,1.67177,1.64747,1.63902,
2.65433,2.68937,1.67326,1.64878,1.64027,
2.65909,2.69273,1.67474,1.65009,1.64151,
2.66386,2.69607,1.67622,1.6514,1.64275,
2.66861,2.69939,1.6777,1.65271,1.64399,
2.67337,2.7027,1.67918,1.65401,1.64523,
2.67812,2.70599,1.68065,1.65531,1.64646,
2.68287,2.70926,1.68212,1.6566,1.64769,
2.68761,2.71252,1.68359,1.6579,1.64892,
2.69235,2.71576,1.68506,1.65919,1.65015,
2.69708,2.71899,1.68652,1.66048,1.65137,
2.70181,2.7222,1.68799,1.66176,1.65259,
2.70654,2.72539,1.68945,1.66305,1.65381,
2.71126,2.72857,1.6909,1.66433,1.65502,
2.71598,2.73173,1.69236,1.6656,1.65623,
2.7207,2.73488,1.69382,1.66688,1.65744,
2.72541,2.73801,1.69527,1.66815,1.65864,
2.73012,2.74112,1.69672,1.66942,1.65984,
2.73482,2.74422,1.69817,1.67069,1.66104,
2.73952,2.74731,1.69961,1.67195,1.66224,
2.74422,2.75038,1.70106,1.67321,1.66343,
2.74891,2.75343,1.7025,1.67447,1.66462,
2.7536,2.75647,1.70394,1.67573,1.66581,
2.75828,2.7595,1.70538,1.67698,1.66699,
2.76296,2.7625,1.70682,1.67823,1.66818,
2.76764,2.7655,1.70825,1.67948,1.66935,
2.77232,2.76848,1.70969,1.68073,1.67053,
2.77698,2.77145,1.71112,1.68197,1.6717,
2.78165,2.7744,1.71255,1.68322,1.67288,
2.78631,2.77733,1.71398,1.68446,1.67405,
2.79097,2.78026,1.7154,1.68569,1.67521,
2.79563,2.78316,1.71683,1.68693,1.67638,
2.80028,2.78606,1.71825,1.68816,1.67754,
2.80493,2.78894,1.71967,1.68939,1.67869,
2.80957,2.7918,1.72109,1.69062,1.67985,
2.81421,2.79466,1.72251,1.69184,1.681,
2.81885,2.7975,1.72393,1.69306,1.68215,
2.82348,2.80032,1.72534,1.69428,1.6833,
2.82811,2.80313,1.72676,1.6955,1.68444,
2.83274,2.80593,1.72817,1.69672,1.68559,
2.83736,2.80871,1.72958,1.69793,1.68673,
2.84198,2.81148,1.73098,1.69914,1.68787,
2.8466,2.81424,1.73239,1.70035,1.689,
2.85121,2.81698,1.7338,1.70156,1.69013,
2.85582,2.81971,1.7352,1.70276,1.69126,
2.86043,2.82243,1.7366,1.70396,1.69239,
2.86503,2.82514,1.738,1.70516,1.69351,
2.86963,2.82783,1.7394,1.70636,1.69463,
2.87423,2.83051,1.7408,1.70755,1.69575,
2.87882,2.83317,1.74219,1.70874,1.69687,
2.88341,2.83582,1.74359,1.70993,1.69799,
2.88799,2.83847,1.74498,1.71112,1.6991,
2.89257,2.84109,1.74637,1.7123,1.70021,
2.89715,2.84371,1.74776,1.71349,1.70131,
2.90173,2.84631,1.74915,1.71467,1.70242,
2.9063,2.8489,1.75054,1.71584,1.70352,
2.91087,2.85148,1.75192,1.71702,1.70461,
2.91544,2.85405,1.75331,1.71819,1.70571,
2.92,2.8566,1.75469,1.71937,1.7068,
2.92456,2.85914,1.75607,1.72054,1.7079,
2.92911,2.86167,1.75745,1.7217,1.70898,
2.93367,2.86419,1.75882,1.72287,1.71007,
2.93822,2.86669,1.7602,1.72403,1.71115,
2.94276,2.86919,1.76158,1.72519,1.71223,
2.94731,2.87167,1.76295,1.72635,1.71331,
2.95185,2.87414,1.76432,1.7275,1.71439,
2.95639,2.8766,1.76569,1.72866,1.71546,
2.96092,2.87905,1.76706,1.72981,1.71653,
2.96545,2.88148,1.76843,1.73096,1.7176,
2.96998,2.88391,1.7698,1.7321,1.71867,
2.9745,2.88632,1.77116,1.73325,1.71973,
2.97902,2.88872,1.77253,1.73439,1.72079,
2.98354,2.89111,1.77389,1.73553,1.72185,
2.98806,2.89349,1.77525,1.73667,1.7229,
2.99257,2.89586,1.77661,1.73781,1.72396,
2.99708,2.89822,1.77797,1.73894,1.72501,
3.00159,2.90057,1.77933,1.74007,1.72605,
3.00609,2.9029,1.78068,1.7412,1.7271,
3.01059,2.90523,1.78204,1.74233,1.72815,
3.01509,2.90754,1.78339,1.74346,1.72919,
3.01958,2.90985,1.78474,1.74458,1.73023,
3.02407,2.91214,1.78609,1.7457,1.73126,
3.02856,2.91442,1.78744,1.74682,1.7323,
3.03305,2.91669,1.78879,1.74794,1.73333,
3.03753,2.91896,1.79014,1.74905,1.73436,
3.04201,2.92121,1.79148,1.75017,1.73538,
3.04649,2.92345,1.79283,1.75128,1.73641,
3.05096,2.92568,1.79417,1.75239,1.73743,
3.05543,2.9279,1.79551,1.7535,1.73845,
3.0599,2.93011,1.79686,1.7546,1.73947,
3.06437,2.93231,1.79819,1.75571,1.74048,
3.06883,2.9345,1.79953,1.75681,1.7415,
